slang;normal
Mensukseskan,Menyukseskan
mensyen,mention
Menterapkan,Menerapkan
Menterjemahkan,Menerjemahkan
Menyolok,Mencolok
merubah,Mengubah
Metoda,Metode
mgkn,mungkin
mhn,mohon
min,admin
mksh,terimakasih
mksih,makasih
mlelahkan,melelahkan
mlm,malam
mmsan,memesan
mnatap,mantap
mncari,mencari
mncul,muncul
mngembalikan,mengembalikan
mnghsilkan,menghasilkan
mnghubing,menghubungi
mnjadi,menjadi
mnjadi,menjadi
mnrt,menurut
mntap,mantap
mntp,mantap
moga,semoga
Motifasi,Motivasi
Motip,Motif
mrk,merk
mrndapat,mendapat
msan,pesan
msh,masih
mskapai,maskapai
msuk,masuk
Mumpung,Selagi
Mums,Makan
Mumz,Makan
Muphs,Maaf
mureh,murah
murip,mirip
Musti,Mesti
Mutz,Imut
Muuph,Maaf
mw,mau
mw,mau
Mzug,Masuk
Mzugg,Masuk
Mzuk,Masuk
n,dan
Naggh,Anak
Nal,Kenal
nambah,tambah
nan,dan
nanya,tanya
napa,kenapa
Naq,Anak
nara sumber,Narasumber
Nasehat,Nasihat
Nax,Anak
Nc,Ini
nda,tidak
ndak,tidak
nendang,menendang
new,baru
Ngak,Tidak
ngalamin,mengalami
ngalir,mengalir
ngangkat,mengangkat
ngantre,mengantri
ngaret,terlambat
ngasal,asal-asalan
ngeliat,melihat
ngembaliin,mengembalikan
ngerasa,merasa
ngerti,mengerti
ngga,tidak
nggak,tidak
nginep,menginap
ngirim,kirim
ngirimin,mengirim
ngk,tidak
ngomong,bilang
nguntungin,menguntungkan
Nich,Nih
Niech,Nih
nmr,nomor
no,tidak
Nopember,November
not,tidak
ntah,entah
ntuk,dapat
nulis,menulis
nulis,menulis
nulisssss,menulis
ny,nya
nyalahin,menyalahkan
nyampai,sampai
nyampe,sampai
nyampenya,sampainya
nyang,yang
nyangka,menyangka
nyasar,tersesat
nyesellllll,nyesel
nyumbang,menyumbang
nyuruh,menyuruh
obyek,Objek 
obyektif,Objektif 
oklah,okelah
On,Ons
org,orang
org,orang
orglain,orang lain
orgorg,Orang-orang
orii,original
orng,orang
Pa,Apa
pa,apa 
pake,pakai
pakek,pakai
Paling,Sangat
parahh,parah
pd,kepada 
pdahal,padahal
pdhal,padahal
pdhl,padahal
pebgaduan,pengaduan
Pebruari,Februari
pebruari,Februari
pecking,packing
pelayanya,pelayannya
pemenang,pemenang
pemsanan ,pemesanan
Penasehat,Penasihat
pengen,ingin
pengiiman,pengiriman
pengirimanx,pengiriman
pengirimanya,pengirimannya
pengitiman,pengiriman
pengrimannya,pengirimannya
penipuuuuuuuu,penipu
penjelasanya,penjelasannya
Perletakan,Peletakan
Pertanggung-jawab,Pertanggungjawaban
perusahan,perusahaan
pesen,pesan
pesenan,pesanan
peswat,pesawat
Phiologi,Fiologi 
phiologi,Fiologi 
Phisik,fisik
phisik,fisik
Photo,Foto
Photo,Foto
Photo,Foto
pickang,packing
pkai,pakai
pke,pakai
pket,paket
pkt,paket
plg,paling
P'ling,Sangat
plmbang,palembang
pmbaca,pembaca
pmbca,pembaca
pmbcr,pembicara
pmblian,pembelian
pngen,ingin
Pny,Milik
pny,punya
pnya,punya
pokonya,pokoknya
poll,pol
pollllll,pol
powl,pol
Ppa,Apa
prangkat,perangkat
prhatikan,perhatikan
prjalanan,perjalanan
prjlanan,perjalanan
prlu,perlu
prmo,promo
prmonya,promonya
Problimatik,Problematic
product,produk
Produktifitas,Produktivitas
Prosentase,Persentase
prtm,pertama
psecond,second
psen,pesan
Psikotest,Psikotes
puasss,puas
puasssss,puas
Punya,Milik
Pzt,Pasti
Q,saya
qamue,Kamu
Qmu,Kamu
rada,agak
rapet,rapat
rata2,Rata-rata
rb,ribu
recommend,rekomendasi
recommended,rekomendasi
redy,ready
refouds,refounds
refoudsnya,refounds
Rejeki,Rezeki
rekomended,rekomendasi
Resiko,Risiko
respond,respon
responya,respon
ribetin,ribet
rmh,rumah
Ru,Baru
Rubuh,Roboh
rusaaak,rusak
sa’at,saat
sampaikemasan,sampai kemasan
sampe,sampai
saudah,sudah
say,saya
sbg,sebagai
sblm,sebelum
sblum,sebelum
sblum,sebelum
sbnarnya,sebenarnya
sdh,sudah
sdh,sudah
sdh,sudah
sdh,sudah
sdng,sedang
sebernanya,sebenarnya
Sekertaris,Sekretaris
Seksama,Saksama
seler,seller
selese,selesai
sempet,sempat
semuga,semoga
seneng,senang
sering2,sering
sesua,sesuai
sesuain,sesuai
sesue,sesuai
Setasiun,Stasiun
sgt,sangat
shoppy,shopee
sidah,sudah
Silahkan,Silakan
silahkan,silakan
siniiiii,sini
Sintesa,Sintesis
Sistim,Sistem
Sistimatis,Sistematis
sja,saja
skedar,sekedar
skitar,sekitar
skrang,sekarang
skrg,sekarang
skrng,sekarang
slalu,selalu
slmt,selamat
sm,sama
sma,sama
smbl,sambil
smlm,semalam
smoga,semoga
smp,sampai
smpai,sampai
smskli,sama sekali
sndiri,sendiri
sndirinya,sendirinya
sngt,sangat
Soalnya,Karena
spec,spesifikasi
sperti,seperti
Spesis,Spesies
Spiritual,Spiritual
sprti,seperti
sprti,seperti
srg,sering
sring,sering
srng,sering
Standarisasi,Standardisasi
statua,status
stelah,setelah
stiap,setiap
stlh,setelah
Subyek,Subjek
Subyektip,Subjektif
sudh,sudah
Suk ,Masuk
Sukur,Syukur
Survai,Survei
Sutra,Sutera
sy,saya
sy,saya
sya,saya
system,sistem
syukaaaaa,suka
T4,Tempat
tamabahan,tambahan
tapi,tetapi
tapi,tetapi
tapi,tetapi
Tapsiran,Tafsiran
tar,nanti
Tarip,Tarif
taro,taruh
tau,tahu
td,tadi
tdk,tidak
Team,Tim
tebel ,tebal
tebelan,tebal
Tehnik,Teknik
telfon,telepon
Telp,Telepon
telpon,telepon
teman2,teman
temen ,teman
tempat2,tempat tempat
Tengkyu,terima kasih
Teoritis,Teoretis
terimakasih,terima kasih
Terlanjur,Telanjur
Terlantar,Telantar
Terlentang,Telentang
ternyat,ternyata
terssegel,segel
tetep,tetap 
tgl,tanggal
th,tahun
thanks,terima kasih
